,lx,ly,lz,Ecoul,Elong,Total
0,25.0,25.0,25.0,-111441.61302892158,-49618.5799033625,-161060.1929322841
1,25.0,25.0,35.0,86467.61939170356,-190793.730337642,-104326.11094593845
2,25.0,25.0,45.0,-21249.31598750585,-37595.80505741292,-58845.12104491879
3,25.0,35.0,25.0,-96593.52677710808,-248817.31970421266,-345410.84648132074
4,25.0,35.0,35.0,10297.47016981371,-155267.49392098354,-144970.02375116982
5,25.0,35.0,45.0,1388.4582526983347,-293068.9998268271,-291680.54157412867
6,25.0,45.0,25.0,-30592.823562850463,-172347.00161856867,-202939.82518141915
7,25.0,45.0,35.0,-27677.475733813088,62516.724692435964,34839.24895862287
8,25.0,45.0,45.0,1511.6333810441172,-135380.35451809087,-133868.72113704676
9,35.0,25.0,25.0,-21696.742121999807,-137409.28450384,-159106.02662583982
10,35.0,25.0,35.0,-23154.93911942165,-153367.94028018028,-176522.87939960195
11,35.0,25.0,45.0,18033.160164123143,-48304.14860439348,-30270.988440270332
12,35.0,35.0,25.0,23764.438566482146,-185545.2248280043,-161780.78626152218
13,35.0,35.0,35.0,-21855.0319102877510886,-130880.9435593168018386,-152735.9754696045420133
14,35.0,35.0,45.0,43985.9398213454187498,-116914.5652134369011037,-72928.6253920914896298
15,35.0,45.0,25.0,143087.9969230209826492,-139334.1052710570511408,3753.8916519639315084
16,35,45,35,-63073.0234224973974051,-94346.6269366677443031,-157419.6503591651562601
17,35.0,45.0,45.0,-74022.0997352140111616,-113248.2246565439854749,-187270.3243917580111884
18,45.0,25.0,25.0,-88915.2075975081534125,-239338.2784650149405934,-328253.4860625230940059
19,45.0,25.0,35.0,40835.7126865518293926,-89257.6826103010389488,-48421.9699237492095563
20,45.0,25.0,45.0,86913.9952409047400579,-160373.4918032900604885,-73459.4965623853204306
21,45.0,35.0,25.0,-53873.7290848947959603,-124051.8579729871999007,-177925.5870578819885850
22,45.0,35.0,35.0,61105.5737682875042083,-81902.5383008141361643,-20796.9645325266319560
23,45.0,35.0,45.0,-18290.7544017901345796,-97031.4053345762513345,-115322.1597363663895521
24,45.0,45.0,25.0,-19538.0046317004271259,-161897.0002824468247127,-181435.0049141472554766
25,45.0,45.0,35.0,-73770.9900620355183491,-124305.5089623800595291,-198076.4990244155633263
26,45.0,45.0,45.0,-99685.3619328351196600,-165918.7442321595735848,-265604.1061649947077967
