,Number of Atoms,Reciprocal,Time,Reciprocal(Integral),Time.1,error,%Reduction in Time,Real,Time.2
0,200,8537.094042132509,0.041692297999999996,8537.094161644185,0.0190353318,0.00011951167653,48.17984815832366,1471.8615932146065,0.00048425380000000003
1,400,24942.128516779525,0.14679737399999998,24942.127900008716,0.038091211400000005,0.0006167708066642001,72.90689802157695,5449.132509182769,0.0003597934
2,600,16858.918724573785,0.269169083,16858.918248854076,0.0847485714,0.00047571970426380005,67.6550134909391,1177.1578262599367,0.0008273034000000001
3,800,23377.601612111794,0.4163477636,23377.601974864905,0.07644969979999999,0.0003627531063102,81.63628389461932,-4487.194457313593,0.0014084744
4,1000,13144.864811415693,0.6423388928,13144.863664465112,0.096842012,0.0011469505825516002,84.9231575519142,-3841.8115273778776,0.0022026562
5,1500,29109.561770970315,1.4135276334,29109.56126641803,0.1630724194,0.0005045522848378,88.4838394257284,4128.047853564159,0.0049434796
6,3000,79924.17539462913,5.696835371799999,79924.17652476205,0.4070542464,0.0011301329184791999,92.84068444573579,1324.0924947453364,0.0195476798
7,6000,83000.13524356054,24.7280363558,83000.1403569619,1.1297551675999997,0.0051134013512638,95.4312272269539,-133083.5681107395,0.078789214
8,12000,320244.3991308565,98.61965677219999,320244.395328767,3.6702620262000005,0.0038020894280636,96.2783670426389,146797.13467267554,0.3125287344
9,24000,695338.6537269971,394.68225562500004,695338.6449229044,12.9222197096,0.008804092556238199,96.7261528922962,56934.83060585265,1.2490591229999999
10,30000,645757.1237978501,617.3132811318001,645757.1714549672,19.229640954799997,0.047657117154449195,96.884927172475,-122577.4553606481,1.9511101011999998
11,48000,1292703.7235569363,1583.9655686596002,1292703.6918851412,47.9500095634,0.031671795109286804,96.9731679021466,-2450596.267759309,5.0034475332
12,60000,940259.2854629481,2474.4319878119995,940259.2743680004,76.16619163159999,0.0110949478577822,96.92191403544518,-894422.4410440419,7.8100380808
13,75000,14205666.217136081,3868.3176835048,14205666.190260842,117.81674428020001,0.026875239238143202,96.95421082932796,158642.0683937393,12.1855579782
