# of Threads,Reciprocal PHL,Reciprocal Integral
1,0.041545275000000,0.027167703000000 
,0.041504554000000,0.027651136000000 
,0.041400044000000,0.027159266000000 
,0.041463436000000,0.027224009000000 
,0.041410208000000,0.027210351000000 
 
 
2,0.041321306000000,0.027097583000000 
,0.041603026000000,0.027242166000000 
,0.041735032000000,0.027191318000000 
,0.041442718000000,0.027223266000000 
,0.041315089000000,0.027164009000000 
 
 
3,0.041805764000000,0.027675827000000 
,0.044983131000000,0.027377160000000 
,0.041457920000000,0.027200887000000 
,0.041436498000000,0.027227112000000 
,0.041947648000000,0.028567122000000 
 
 
4,0.042055780000000,0.027207726000000 
,0.041506972000000,0.027312434000000 
,0.041443841000000,0.027146745000000 
,0.041389068000000,0.027172406000000 
,0.041388406000000,0.027769897000000 
 
 
5,0.041391615000000,0.027129245000000 
,0.041724452000000,0.027201255000000 
,0.041526172000000,0.027159342000000 
,0.041551278000000,0.027348372000000 
,0.041481010000000,0.027803414000000 
 
 
6,0.035626574000000,0.023455853000000 
,0.035667491000000,0.023532078000000 
,0.040650424000000,0.025770234000000 
,0.039272271000000,0.025182448000000 
,0.036035187000000,0.023006653000000 
 
 
7,0.033625174000000,0.021310248000000 
,0.033487366000000,0.021511035000000 
,0.034488740000000,0.021408448000000 
,0.033396845000000,0.021291739000000 
,0.037320145000000,0.023403338000000 
 
 
8,0.032074878000000,0.020328067000000 
,0.031956517000000,0.020301626000000 
,0.032859469000000,0.020986158000000 
,0.032658386000000,0.020257264000000 
,0.032477740000000,0.020445098000000 
 
 
9,0.030696416000000,0.019181213000000 
,0.030612083000000,0.019137617000000 
,0.031407928000000,0.019441411000000 
,0.031473501000000,0.019187284000000 
,0.030939379000000,0.019240040000000 
 
 
10,0.029599634000000,0.018040668000000 
,0.029338585000000,0.018067145000000 
,0.029256395000000,0.017957956000000 
,0.029514024000000,0.018456717000000 
,0.029210355000000,0.018009919000000 
 
 
11,0.028200082000000,0.017011839000000 
,0.028167639000000,0.017088503000000 
,0.029003432000000,0.016921509000000 
,0.027990539000000,0.016961827000000 
,0.027947945000000,0.016903952000000 
 
 
12,0.028197826000000,0.016076349000000 
,0.027814714000000,0.016020316000000 
,0.032189698000000,0.015981376000000 
,0.026993678000000,0.015982586000000 
,0.026973589000000,0.016094264000000 
 
 
13,0.032363361000000,0.018376948000000 
,0.031934187000000,0.019775002000000 
,0.033182398000000,0.019742604000000 
,0.033955907000000,0.019080186000000 
,0.033798708000000,0.018861660000000 
 
 
14,0.032172379000000,0.018932319000000 
,0.031905456000000,0.018549811000000 
,0.037121704000000,0.020805265000000 
,0.033491009000000,0.018560437000000 
,0.035761703000000,0.019295519000000 
 
 
15,0.032582908000000,0.018726513000000 
,0.032275434000000,0.018679453000000 
,0.037874697000000,0.021176734000000 
,0.034008789000000,0.018633883000000 
,0.034952667000000,0.019044132000000 
 
 
16,0.032945874000000,0.018930425000000 
,0.034753487000000,0.019826442000000 
,0.040731286000000,0.022969953000000 
,0.033090961000000,0.018827834000000 
,0.071859350000000,0.020322006000000 
 
 
17,0.033824996000000,0.019397537000000 
,0.034004177000000,0.023413524000000 
,0.038464894000000,0.020576181000000 
,0.034326458000000,0.019996678000000 
,0.039002034000000,0.027048137000000 
 
 
18,0.033928537000000,0.019889489000000 
,0.034859052000000,0.020052483000000 
,0.037911618000000,0.020521332000000 
,0.035054515000000,0.019753068000000 
,0.035122720000000,0.019594275000000 
 
 
19,0.038059473000000,0.020904934000000 
,0.036173223000000,0.020127396000000 
,0.038680514000000,0.020427997000000 
,0.035995365000000,0.020816229000000 
,0.037546141000000,0.020186519000000 
 
 
20,0.038230435000000,0.020056969000000 
,0.035488088000000,0.019831138000000 
,0.039570953000000,0.018916718000000 
,0.034671320000000,0.019406932000000 
,0.034887497000000,0.019750588000000 
 
 
21,0.037601540000000,0.018984607000000 
,0.034250138000000,0.019637190000000 
,0.036989992000000,0.024406868000000 
,0.035642378000000,0.020711599000000 
,0.038082605000000,0.020221270000000 
 
 
22,0.038538518000000,0.018867257000000 
,0.034490003000000,0.021467771000000 
,0.035539707000000,0.024376460000000 
,0.037655368000000,0.019708881000000 
,0.037632468000000,0.018900340000000 
 
 
23,0.034902653000000,0.019127882000000 
,0.034544101000000,0.019166080000000 
,0.037355079000000,0.027846032000000 
,0.035634577000000,0.020331947000000 
,0.036294245000000,0.018938727000000 
 
 
24,0.035899967000000,0.019680938000000 
,0.035460521000000,0.020065928000000 
,0.037622971000000,0.022166689000000 
,0.043098952000000,0.022052443000000 
,0.035958240000000,0.019335535000000 
 
 
